,format
0,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/late_blight_tomato_leaf5x12001.jpg,18,10,1133,1576,Tomato-leaf-late-blight"
1,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/pddl-highlights-fig-1-bact-spot.jpg,1247,476,1487,936,Tomato-leaf-bacterial-spot"
2,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/pddl-highlights-fig-1-bact-spot.jpg,17,204,271,433,Tomato-leaf-bacterial-spot"
3,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/pddl-highlights-fig-1-bact-spot.jpg,279,180,459,489,Tomato-leaf-bacterial-spot"
4,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/pddl-highlights-fig-1-bact-spot.jpg,588,267,931,740,Tomato-leaf-bacterial-spot"
5,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/pmild1_600px.jpg,9,3,518,398,Squash-Powdery-mildew-leaf"
6,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/grape-leaves-up-close.jpg,1189,353,3261,2448,grape-leaf"
7,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/grape-leaves-up-close.jpg,9,1091,1407,2448,grape-leaf"
8,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/green-pepper-leaf-parks-3302644.jpg,410,251,996,599,Bell_pepper-leaf"
9,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-stock-picture-855439.jpg,516,92,679,445,Peach-leaf"
10,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-stock-picture-855439.jpg,214,28,592,176,Peach-leaf"
11,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-stock-picture-855439.jpg,696,73,814,429,Peach-leaf"
12,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-stock-picture-855439.jpg,635,16,882,271,Peach-leaf"
13,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-stock-picture-855439.jpg,899,607,1003,841,Peach-leaf"
14,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-stock-picture-855439.jpg,662,521,1041,740,Peach-leaf"
15,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-stock-picture-855439.jpg,1122,603,1251,716,Peach-leaf"
16,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ripe-peach-fresh-red-tree-green-leaves-57508021.jpg,540,206,720,549,Peach-leaf"
17,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ripe-peach-fresh-red-tree-green-leaves-57508021.jpg,87,700,247,1138,Peach-leaf"
18,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ripe-peach-fresh-red-tree-green-leaves-57508021.jpg,263,756,432,1245,Peach-leaf"
19,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ripe-peach-fresh-red-tree-green-leaves-57508021.jpg,1,204,266,518,Peach-leaf"
20,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ripe-peach-fresh-red-tree-green-leaves-57508021.jpg,250,245,444,696,Peach-leaf"
21,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ripe-peach-fresh-red-tree-green-leaves-57508021.jpg,539,312,726,838,Peach-leaf"
22,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-isolated-white-background-15358743.jpg,841,704,1171,1044,Raspberry-leaf"
23,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-isolated-white-background-15358743.jpg,824,582,1153,744,Raspberry-leaf"
24,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-isolated-white-background-15358743.jpg,766,454,860,670,Raspberry-leaf"
25,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-isolated-white-background-15358743.jpg,622,585,810,719,Raspberry-leaf"
26,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-isolated-white-background-15358743.jpg,651,700,834,1012,Raspberry-leaf"
27,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-isolated-white-background-15358743.jpg,710,322,810,461,Raspberry-leaf"
28,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-isolated-white-background-15358743.jpg,717,163,826,337,Raspberry-leaf"
29,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-isolated-white-background-15358743.jpg,588,346,729,537,Raspberry-leaf"
30,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-isolated-white-background-15358743.jpg,532,93,700,315,Raspberry-leaf"
31,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/gardening+004.JPG.jpg,1,328,1286,872,Raspberry-leaf"
32,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/gardening+004.JPG.jpg,1003,833,1541,1200,Raspberry-leaf"
33,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/radish-black-cherry-fruits-leaves.jpg,459,1193,1774,1965,Cherry-leaf"
34,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/radish-black-cherry-fruits-leaves.jpg,334,1787,1702,3000,Cherry-leaf"
35,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/radish-black-cherry-fruits-leaves.jpg,2706,1803,4000,2978,Cherry-leaf"
36,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/radish-black-cherry-fruits-leaves.jpg,1809,1915,2800,3000,Cherry-leaf"
